,item_count,item_pred_rank
0,484.0,0.0
1,518.0,0.0
2,508.0,0.0
3,490.0,0.0
4,497.0,0.0
5,505.0,0.0
6,489.0,8.0
7,495.0,0.0
8,492.0,10.0
9,521.0,7.0
10,473.0,1.0
11,512.0,11.0
12,483.0,0.0
13,505.0,18.0
14,518.0,36.0
15,527.0,27.0
16,491.0,27.0
17,505.0,8.0
18,471.0,8.0
19,469.0,0.0
20,513.0,23.0
21,482.0,8.0
22,501.0,0.0
23,493.0,0.0
24,459.0,0.0
25,521.0,0.0
26,512.0,0.0
27,480.0,0.0
28,492.0,9.0
29,495.0,34.0
30,521.0,74.0
31,522.0,0.0
32,532.0,16.0
33,477.0,4.0
34,515.0,10.0
35,540.0,86.0
36,501.0,4.0
37,497.0,10.0
38,458.0,0.0
39,505.0,45.0
40,524.0,44.0
41,515.0,42.0
42,525.0,0.0
43,506.0,21.0
44,510.0,21.0
45,513.0,0.0
46,514.0,0.0
47,499.0,51.0
48,483.0,17.0
49,521.0,0.0
50,508.0,0.0
51,474.0,0.0
52,493.0,15.0
53,514.0,0.0
54,505.0,0.0
55,471.0,0.0
56,495.0,0.0
57,490.0,14.0
58,502.0,0.0
59,499.0,94.0
60,505.0,0.0
61,514.0,45.0
62,505.0,0.0
63,507.0,9.0
64,483.0,0.0
65,487.0,0.0
66,481.0,0.0
67,480.0,10.0
68,498.0,15.0
69,480.0,0.0
70,483.0,31.0
71,492.0,0.0
72,500.0,10.0
73,506.0,0.0
74,499.0,0.0
75,539.0,35.0
76,503.0,0.0
77,472.0,0.0
78,499.0,0.0
79,504.0,6.0
80,534.0,0.0
81,494.0,1.0
82,493.0,105.0
83,538.0,24.0
84,528.0,0.0
85,518.0,0.0
86,479.0,0.0
87,508.0,0.0
88,493.0,0.0
89,468.0,0.0
90,489.0,10.0
91,500.0,26.0
92,513.0,0.0
93,526.0,0.0
94,477.0,0.0
95,493.0,8.0
96,519.0,0.0
97,531.0,0.0
98,485.0,10.0
99,501.0,0.0
100,474.0,39.0
101,496.0,17.0
102,498.0,0.0
103,497.0,0.0
104,517.0,0.0
105,498.0,0.0
106,490.0,25.0
107,495.0,6.0
108,487.0,0.0
109,497.0,0.0
110,514.0,0.0
111,503.0,9.0
112,484.0,10.0
113,502.0,39.0
114,476.0,0.0
115,493.0,0.0
116,508.0,0.0
117,471.0,0.0
118,492.0,0.0
119,487.0,0.0
120,492.0,4.0
121,501.0,0.0
122,510.0,0.0
123,488.0,0.0
124,492.0,0.0
125,526.0,0.0
126,503.0,10.0
127,489.0,0.0
128,509.0,83.0
129,510.0,0.0
130,506.0,49.0
131,500.0,0.0
132,520.0,24.0
133,492.0,0.0
134,485.0,0.0
135,495.0,0.0
136,524.0,30.0
137,498.0,51.0
138,494.0,30.0
139,524.0,17.0
140,518.0,0.0
141,497.0,0.0
142,480.0,28.0
143,488.0,0.0
144,482.0,0.0
145,511.0,94.0
146,491.0,0.0
147,519.0,0.0
148,516.0,2.0
149,497.0,13.0
150,495.0,82.0
151,479.0,0.0
152,500.0,0.0
153,483.0,0.0
154,479.0,0.0
155,502.0,0.0
156,483.0,2.0
157,490.0,0.0
158,499.0,0.0
159,509.0,0.0
160,506.0,0.0
161,504.0,58.0
162,510.0,68.0
163,493.0,0.0
164,471.0,0.0
165,495.0,0.0
166,482.0,0.0
167,506.0,0.0
168,535.0,78.0
169,489.0,0.0
170,500.0,0.0
171,499.0,0.0
172,465.0,0.0
173,482.0,13.0
